,학번,이름,주소,전화번호
0,101,철수,인천시 부평구,010-1111-2222
1,102,영희,서울시 강동구,010-5555-2222
2,103,민수,서울시 은평구,010-2121-2222
3,104,지훈,서울시 성북구,010-0000-2222
4,105,서연,서울시 강남구,010-3333-4444
5,106,지원,부산시 해운대구,010-5555-6666
6,107,지민,서울시 마포구,010-7777-8888
7,108,지후,경기도 성남시,010-9999-0000
8,109,영민,인천시 검단구,010-1234-5678
9,110,지우,인천시 부평구,010-1111-2222
10,111,태영,서울시 강동구,010-5555-2222
11,112,서준,서울시 은평구,010-2121-2222
12,113,예준,서울시 성북구,010-0000-2222
13,114,지호,서울시 강남구,010-3333-4444
14,115,영호,부산시 해운대구,010-5555-6666
15,116,준서,서울시 마포구,010-7777-8888
16,117,태현,경기도 성남시,010-9999-0000
17,118,지영,인천시 검단구,010-1234-5678
